num_links,num_special_chars,contains_offer,contains_free,email_length,spam
2,3,0,1,343,1
5,2,1,0,263,0
1,2,0,0,399,0
3,1,0,1,332,0
4,3,0,0,289,0
2,2,0,0,198,0
3,3,0,0,231,0
2,3,1,0,385,1
1,5,0,1,386,1
4,6,1,0,304,1
1,3,1,0,211,1
3,5,0,1,245,1
1,2,0,0,218,0
1,2,0,0,216,0
3,4,1,0,401,0
0,3,1,0,402,0
1,2,0,0,243,0
1,1,0,0,299,0
0,5,0,0,235,0
1,3,1,0,299,1
2,4,0,0,381,0
0,1,0,0,353,0
3,3,1,0,340,1
4,4,0,0,290,1
4,2,0,0,363,0
1,2,0,0,332,0
1,2,0,1,320,0
0,4,0,1,294,0
0,5,1,0,315,1
4,2,0,1,314,1
2,2,0,0,272,0
1,4,0,1,261,1
1,0,0,0,250,0
3,3,0,0,253,0
4,0,1,0,290,1
4,2,1,0,282,1
3,2,0,1,268,1
2,1,0,0,265,0
2,4,0,0,314,0
0,5,1,0,368,1
4,1,0,0,299,0
2,4,1,0,296,1
5,0,0,0,253,0
2,6,1,1,288,1
0,5,1,0,359,1
3,1,1,0,351,0
5,5,0,1,348,1
1,1,0,0,346,0
0,4,0,0,321,0
8,2,1,0,320,1
1,1,0,1,312,0
2,3,1,0,279,1
3,3,1,1,304,1
4,6,0,1,310,1
3,0,1,0,331,0
0,3,0,0,305,0
0,5,0,0,405,0
3,1,0,0,239,0
1,3,0,1,337,0
2,4,1,1,297,1
3,2,0,0,300,0
5,3,0,0,259,0
2,7,0,0,350,0
3,1,1,0,332,0
2,3,0,0,341,1
0,3,1,0,308,0
0,1,0,0,283,0
1,1,0,0,296,0
1,2,0,0,321,0
3,2,0,1,199,1
1,6,1,1,343,1
0,1,0,0,421,0
1,3,1,0,324,1
1,3,0,0,285,0
0,4,0,0,291,0
1,2,1,0,335,0
2,3,1,0,287,1
0,4,0,0,343,0
2,2,0,0,291,0
2,3,0,0,385,0
3,2,0,0,384,0
1,4,1,0,283,0
2,1,1,1,295,1
2,3,0,0,298,0
3,5,1,0,299,1
1,2,0,0,252,0
2,4,0,1,245,0
1,2,0,0,362,0
0,1,0,0,354,0
1,3,0,1,353,0
1,4,0,0,296,0
5,7,0,0,394,1
3,4,0,0,298,1
0,6,1,0,343,1
1,4,0,0,230,0
2,1,0,0,288,0
3,1,1,0,292,1
1,7,1,0,296,1
1,4,1,0,233,1
1,3,0,0,335,0
1,3,0,0,351,0
3,3,0,1,262,0
4,3,0,0,242,1
1,1,1,0,261,0
3,1,0,0,324,0
2,3,0,0,270,0
2,0,0,0,293,0
0,3,0,0,246,0
2,3,1,0,398,0
1,0,0,0,303,0
1,2,0,1,357,1
1,1,0,0,324,0
0,2,0,0,297,0
3,4,0,0,295,0
4,4,0,0,263,1
4,1,0,0,277,0
2,3,1,0,249,0
0,3,1,0,244,1
3,2,1,0,404,1
2,2,1,1,313,1
1,3,0,0,373,0
2,2,0,0,260,0
3,3,0,1,237,1
2,2,1,0,251,1
2,1,1,0,278,1
4,0,1,0,301,1
0,3,0,0,292,0
3,4,1,0,261,1
5,4,0,0,304,1
1,3,0,0,308,0
1,3,0,0,335,0
3,6,0,1,373,1
1,4,0,0,281,0
1,4,0,0,360,1
2,5,0,0,303,0
2,1,0,0,223,0
3,4,1,1,389,1
1,2,0,0,413,0
3,4,0,0,330,0
2,5,1,0,304,1
2,2,1,0,286,0
6,4,0,0,276,1
3,1,0,0,360,0
3,2,0,0,299,0
2,4,0,0,383,0
4,1,0,0,301,0
0,1,1,0,279,0
2,0,0,1,269,0
1,3,1,1,262,1
3,3,1,1,325,1
2,4,1,1,235,1
1,2,0,0,259,0
1,3,1,0,366,0
3,6,0,0,252,1
1,2,0,1,343,0
1,2,0,0,196,0
2,2,0,1,372,1
0,4,1,0,236,1
3,1,0,1,256,0
3,4,0,0,334,0
1,3,0,0,313,0
2,3,0,1,344,0
3,5,0,0,236,1
2,3,1,1,285,1
3,1,0,0,269,0
2,1,0,0,244,0
0,3,0,0,329,1
1,5,0,0,347,1
1,4,0,0,283,0
1,2,0,0,376,0
1,7,1,0,260,1
0,0,0,0,374,0
2,4,0,0,328,0
1,2,0,0,238,0
3,3,1,0,399,1
2,1,0,0,277,0
2,3,0,0,360,0
0,1,1,0,307,0
1,3,0,0,318,0
1,6,0,0,345,1
3,3,0,1,342,1
1,2,0,1,282,0
2,1,0,0,326,0
2,4,0,0,322,0
3,4,0,1,310,0
4,3,0,0,289,1
0,1,0,0,310,0
2,4,1,0,398,1
1,2,1,0,285,0
3,4,1,1,360,1
1,1,0,0,269,0
1,5,0,0,255,1
2,3,0,0,463,1
2,1,0,1,327,0
0,2,1,1,328,1
1,1,0,0,329,0
4,5,0,0,370,0
3,1,0,0,320,0
0,3,0,1,340,0
1,2,0,1,247,0
0,3,0,0,349,0
2,2,0,0,288,0
1,5,1,0,333,1
2,4,0,0,214,0
4,5,1,0,331,1
0,2,1,0,187,1
2,3,0,0,286,0
2,2,1,0,214,0
1,1,0,0,331,0
0,3,1,0,303,0
3,1,0,0,261,0
3,7,0,0,371,1
2,6,0,0,255,1
0,3,0,0,148,0
1,4,1,0,325,0
2,1,0,1,211,0
5,1,0,0,256,0
2,2,0,1,274,0
3,3,1,0,228,1
2,3,0,0,275,0
2,1,0,0,229,0
5,4,0,0,308,1
4,1,1,0,238,1
2,3,0,0,301,0
0,3,0,1,358,0
3,1,0,0,339,0
2,2,1,1,295,1
3,4,0,1,250,1
1,2,0,0,307,0
1,0,0,0,265,0
5,4,1,0,310,1
3,0,1,1,214,1
4,2,0,0,340,0
2,5,0,1,301,0
1,1,0,0,410,0
1,5,0,1,365,1
0,4,0,0,328,0
0,4,0,0,293,0
3,3,0,1,263,1
3,6,1,1,347,1
4,2,0,0,288,0
2,4,0,0,358,1
4,2,0,0,320,0
1,5,0,1,320,1
2,3,0,1,329,0
0,3,0,1,254,0
5,3,0,0,248,0
2,1,1,0,247,0
2,3,1,0,352,0
3,6,0,1,252,1
2,3,0,0,258,0
6,1,0,1,326,1
2,3,0,0,287,0
2,3,0,0,281,0
2,2,1,0,276,0
3,3,1,0,183,1
3,0,1,0,251,0
3,8,0,0,359,1
6,1,1,0,273,1
1,1,1,1,204,1
2,3,0,0,249,0
1,2,0,0,317,0
2,2,1,0,317,0
3,3,0,0,285,0
3,4,0,1,265,1
2,3,0,0,229,0
1,7,0,1,318,1
4,3,0,0,341,0
1,3,1,0,364,1
2,3,0,0,244,0
2,5,0,0,368,1
2,5,0,0,297,0
0,4,0,0,301,0
4,4,0,0,344,1
1,2,0,0,272,0
0,6,0,0,191,0
2,3,0,0,335,0
2,2,0,0,317,1
3,6,0,0,281,0
2,4,0,0,331,1
0,3,0,0,341,0
2,3,1,0,224,0
2,6,0,1,301,1
3,4,0,0,186,0
2,2,0,0,293,0
2,1,0,1,281,0
0,3,1,0,324,1
3,4,0,0,246,1
3,5,0,0,278,1
4,6,0,0,139,1
0,2,0,0,327,0
4,4,1,1,295,1
0,4,0,0,304,0
2,0,0,1,225,0
1,4,0,0,319,0
2,5,0,0,382,0
2,2,1,0,290,1
0,5,0,1,332,0
2,4,0,1,256,1
4,5,0,0,296,0
1,2,0,1,223,0
2,2,0,0,339,0
3,0,0,0,307,0
0,4,0,0,239,0
2,1,0,0,259,0
1,2,0,0,303,0
0,3,1,0,346,0
1,2,0,0,373,0
3,2,0,0,293,0
1,1,0,0,231,0
2,3,0,1,311,1
1,4,0,0,389,0
5,6,1,0,218,1
1,3,0,0,252,0
4,2,0,0,330,0
2,3,0,1,307,0
0,1,0,0,272,0
1,2,0,1,311,0
3,1,1,0,348,0
2,3,0,0,295,0
3,4,0,0,290,0
3,2,0,0,329,0
1,2,0,0,286,0
0,3,0,0,357,0
1,2,0,0,401,0
4,2,0,0,255,0
2,3,0,1,237,1
4,1,0,0,318,0
3,6,0,0,235,1
2,2,0,0,234,0
3,2,0,0,197,0
2,2,0,0,280,0
2,4,0,1,298,1
2,1,0,1,274,0
3,2,1,0,369,0
1,4,0,0,365,0
2,3,0,0,396,0
3,3,0,0,302,0
2,3,0,0,359,0
0,6,0,0,315,0
1,3,0,0,310,0
2,3,0,0,276,0
2,1,0,0,186,0
1,2,0,0,331,0
0,4,1,0,357,1
5,3,0,0,223,1
2,3,0,1,299,1
1,2,0,0,349,0
2,3,0,1,282,1
0,1,0,0,359,0
2,2,0,0,292,0
1,2,0,0,273,0
3,3,0,0,362,0
4,5,1,1,253,1
2,3,1,0,263,1
0,6,0,0,255,1
2,2,0,0,242,0
2,5,0,1,307,1
3,6,0,0,274,1
5,6,0,1,324,1
2,3,0,1,213,1
3,4,1,0,243,1
3,3,0,1,302,1
2,2,0,1,373,0
5,5,0,0,318,0
2,4,1,0,270,1
5,2,0,0,225,0
0,0,0,0,267,0
1,0,0,0,297,0
1,5,1,0,182,1
2,6,0,0,239,1
1,1,1,0,263,1
1,2,0,0,287,0
0,5,0,1,297,1
3,4,0,0,269,1
3,3,0,0,325,0
0,2,0,0,306,0
1,0,1,0,281,0
2,4,0,1,332,1
5,5,0,0,328,1
1,2,0,0,227,0
3,3,0,1,298,0
0,7,0,1,344,1
2,5,0,0,352,0
1,3,0,1,318,1
1,1,0,0,288,0
2,3,1,0,321,0
2,4,0,0,340,0
1,1,1,0,305,1
1,3,0,1,311,0
1,3,0,0,287,0
1,4,0,0,233,0
3,1,0,1,291,1
2,2,1,0,266,0
5,3,0,1,266,1
1,2,0,1,371,0
3,1,1,0,347,0
2,1,0,0,215,0
3,3,0,0,245,0
3,0,0,0,281,0
3,3,1,0,267,1
0,1,0,0,315,0
3,1,0,1,237,0
2,7,0,0,347,0
1,3,1,0,297,0
2,2,0,0,282,0
3,4,0,0,299,0
0,4,0,1,279,0
2,0,1,0,198,0
0,3,1,0,300,1
0,3,1,0,283,0
2,7,0,0,252,0
1,3,0,0,354,0
0,2,0,0,333,0
1,4,1,0,421,0
2,2,0,1,341,1
3,2,0,1,267,0
4,3,1,0,254,1
2,0,0,1,275,0
2,0,0,0,266,0
2,3,0,0,305,0
0,4,0,0,223,0
2,6,1,0,332,1
3,4,0,0,304,1
1,2,0,0,326,0
6,2,0,0,242,0
1,8,0,1,312,1
3,4,0,0,364,0
1,3,0,0,256,0
1,1,0,1,255,0
3,2,0,0,335,0
3,1,0,0,251,0
3,3,0,1,288,1
1,4,1,0,373,1
6,0,1,0,256,1
0,2,1,0,377,0
1,5,0,1,283,1
4,5,0,0,243,1
0,3,0,1,330,1
5,1,0,0,305,0
2,3,0,0,300,0
1,2,0,1,261,0
0,5,1,0,305,0
0,1,0,0,196,0
4,3,0,0,310,1
2,3,1,1,364,1
2,4,0,0,211,0
1,2,1,0,279,0
0,2,1,0,256,1
2,1,1,1,224,1
1,0,0,0,197,0
3,2,0,0,240,0
0,2,0,0,287,0
1,1,0,0,357,0
1,5,0,0,223,1
4,7,0,0,314,1
3,2,0,0,310,0
2,2,0,1,383,0
2,2,1,1,328,1
2,1,1,0,331,0
2,2,0,1,334,0
2,2,0,0,253,0
1,5,1,1,271,1
0,0,0,0,355,0
4,3,1,0,197,1
0,2,1,1,265,0
3,5,0,1,233,1
1,3,1,0,311,1
2,5,0,0,278,0
2,6,0,0,331,0
5,3,0,0,294,0
1,5,0,0,222,0
1,2,1,0,225,0
5,0,0,1,299,1
1,6,0,0,261,0
1,5,0,0,273,0
3,3,1,0,346,0
0,6,1,0,337,0
1,3,1,0,389,0
0,1,0,0,284,0
0,0,0,1,267,0
3,2,0,1,320,1
3,2,0,0,271,0
1,4,0,0,273,0
2,5,0,0,289,0
0,1,0,1,382,0
0,4,1,1,335,1
4,3,0,0,340,0
1,2,0,0,380,0
4,3,0,1,345,1
4,2,1,0,243,1
4,3,1,0,344,1
2,5,1,1,350,1
2,2,0,0,332,0
3,5,1,0,290,1
2,1,0,0,327,0
5,0,0,0,298,0
5,4,1,0,251,1
1,6,0,0,263,1
2,4,0,0,335,0
1,3,0,0,254,0
2,5,0,1,259,1
4,2,1,0,337,1
2,2,0,0,306,0
4,2,0,0,328,0
1,4,0,0,238,0
3,3,0,0,327,0
2,5,0,0,266,1
3,2,0,1,249,1
3,2,0,0,274,0
1,3,0,1,368,0
3,3,1,1,281,1
1,4,0,0,410,0
3,1,0,0,196,0
4,0,0,1,222,0
2,1,0,1,366,0
3,4,1,0,378,1
3,3,1,0,256,1
3,4,0,0,303,1
3,1,1,1,335,1
1,5,0,0,288,0
0,3,0,0,307,0
4,4,0,1,300,1
1,4,0,0,225,0
2,4,0,0,282,0
1,1,1,0,300,0
5,4,0,1,305,1
1,3,1,0,213,0
2,2,1,0,337,1
2,5,0,0,306,1
1,4,0,0,247,0
0,3,0,0,389,0
0,4,1,0,282,1
2,4,0,0,285,0
2,3,0,1,332,1
3,1,0,1,394,0
3,2,0,0,334,0
0,0,0,0,341,0
3,4,0,0,249,1
1,1,0,1,304,1
1,5,0,0,273,1
3,1,0,0,335,0
0,4,0,0,339,0
1,1,0,0,381,0
2,6,0,0,192,1
2,4,0,0,268,0
1,1,0,0,365,0
1,3,0,0,229,0
0,3,0,0,340,0
1,4,0,0,356,0
2,2,0,0,298,0
1,4,0,0,228,0
4,3,1,0,293,1
1,3,1,0,372,1
3,2,1,0,376,0
1,4,1,0,310,0
3,3,0,0,251,0
0,1,0,0,386,0
1,1,0,1,341,0
2,2,0,0,254,0
1,2,0,0,317,0
2,1,1,0,314,0
2,6,0,0,268,0
2,2,0,0,317,0
4,5,0,0,355,1
2,7,0,0,285,0
3,5,0,0,360,0
2,4,1,0,212,1
1,3,0,1,410,1
2,4,1,1,302,1
4,1,0,0,353,0
2,2,1,0,310,0
0,4,0,0,258,0
3,1,0,0,298,0
0,4,0,0,204,0
5,6,1,0,334,1
2,3,1,0,309,1
3,1,0,0,290,0
2,2,0,0,337,0
5,4,1,0,301,1
2,3,0,1,330,0
2,1,0,0,348,0
1,7,0,0,272,0
1,2,0,0,258,0
6,5,1,0,213,1
1,6,1,0,306,1
2,1,0,0,322,0
0,0,0,0,233,0
4,2,1,0,371,1
2,3,0,0,258,0
3,5,1,0,194,1
3,0,0,0,374,0
3,0,0,0,201,0
2,3,1,0,348,1
1,4,0,0,336,0
2,3,0,1,315,1
3,4,0,0,273,1
3,3,0,0,325,1
3,5,0,0,352,0
2,6,1,1,250,1
3,3,1,1,348,1
2,4,0,0,346,0
0,1,0,0,314,0
4,3,0,0,273,0
3,3,0,0,346,0
2,2,0,0,325,0
3,4,1,0,249,1
2,3,0,0,281,0
1,5,1,0,340,1
4,3,0,1,305,1
3,3,0,0,354,0
4,2,0,0,282,0
1,0,0,0,250,0
2,4,0,1,409,1
1,3,1,1,215,1
2,2,0,0,275,0
1,4,1,0,313,1
1,6,0,1,349,0
5,4,1,0,332,1
0,4,0,0,415,0
2,2,1,1,294,1
4,1,0,0,256,0
2,1,1,0,289,1
0,1,1,1,284,1
5,4,0,0,296,0
2,3,0,0,250,0
4,4,0,0,339,1
3,4,1,0,318,1
1,2,0,0,236,0
2,6,0,0,348,0
5,3,0,0,259,0
1,1,0,0,240,0
1,3,1,0,304,0
1,2,0,0,212,0
3,2,0,1,329,1
2,3,1,0,158,1
1,3,0,0,248,0
0,3,0,0,378,0
1,3,0,0,265,0
0,6,0,0,274,0
3,6,0,0,363,1
2,3,1,0,260,1
0,3,0,0,338,0
1,3,0,0,358,0
3,2,0,0,323,0
2,3,0,0,227,0
1,3,1,0,269,0
3,3,0,0,435,0
4,1,0,0,275,0
0,4,0,0,449,0
1,1,0,0,385,0
1,4,0,0,325,0
2,2,0,0,314,0
2,2,0,1,276,1
0,5,1,1,295,1
2,4,0,0,265,0
0,1,1,0,296,0
4,1,1,0,231,0
1,5,0,0,229,0
5,3,0,0,365,0
1,1,0,0,219,0
1,1,0,0,344,0
0,5,1,1,205,1
1,4,0,0,331,0
2,4,0,1,289,1
0,1,0,1,366,0
3,0,0,0,283,0
4,4,0,0,199,0
2,2,1,0,290,0
5,4,0,0,307,0
2,1,1,0,293,1
3,1,0,0,328,0
1,4,0,0,271,0
2,2,0,1,236,1
0,1,0,0,250,0
3,1,0,1,274,0
1,3,1,0,273,1
3,4,1,1,420,1
3,2,0,0,362,0
1,2,0,0,334,0
3,4,0,1,322,1
0,3,1,0,314,0
1,1,0,0,315,0
0,1,1,0,308,0
2,3,0,0,302,0
1,2,0,0,195,0
4,3,1,0,281,1
3,2,0,0,287,0
1,6,0,0,262,0
1,7,0,1,272,1
4,4,0,0,315,0
1,2,0,0,338,0
1,2,0,0,314,0
1,0,1,0,337,0
3,5,0,0,338,0
1,2,1,0,285,0
2,4,0,0,326,0
5,4,0,0,212,1
1,4,0,0,280,0
2,5,0,1,274,1
5,3,0,0,376,0
1,3,1,0,316,0
4,5,0,1,233,1
4,4,0,0,329,1
1,3,0,1,345,0
2,4,1,0,295,1
3,3,1,1,334,1
6,3,0,0,175,0
0,4,0,0,165,0
4,3,0,0,241,0
3,1,0,0,307,0
1,3,0,1,376,0
4,2,0,0,243,0
1,2,0,0,257,0
2,4,0,0,304,0
1,4,0,0,275,0
4,1,1,0,272,0
3,7,1,0,278,1
6,3,0,0,365,1
1,2,0,0,355,0
2,6,0,1,301,1
1,0,0,0,382,0
2,6,1,0,325,1
3,3,0,1,357,1
3,3,1,0,256,1
0,5,1,0,267,1
1,5,0,0,266,0
1,2,0,0,295,0
4,4,0,0,302,0
1,3,0,0,316,0
4,6,0,0,398,1
0,1,0,0,336,0
3,3,1,0,274,1
1,5,0,1,299,1
2,3,0,0,375,0
4,2,0,0,339,0
2,0,0,0,374,0
1,1,0,1,275,0
1,4,1,0,264,1
2,6,0,0,265,0
1,2,0,1,279,1
2,4,0,0,246,1
1,1,0,1,314,0
2,1,1,0,315,1
0,9,0,0,366,0
1,2,1,1,211,1
4,2,0,0,252,0
3,3,0,0,340,0
2,4,0,0,309,0
2,2,0,1,302,0
1,1,0,0,363,0
5,2,1,0,249,1
0,1,0,0,263,0
2,0,0,0,257,0
3,3,0,0,199,0
1,2,0,0,306,0
2,6,0,0,273,0
4,2,0,0,263,0
3,2,0,0,254,0
2,2,0,0,299,0
1,6,0,1,260,1
3,1,0,1,311,0
2,4,0,0,322,0
1,4,0,0,285,0
0,2,1,0,281,0
0,3,0,0,309,1
2,0,0,0,298,0
0,3,0,0,366,0
1,4,0,0,315,0
0,2,1,1,354,1
0,4,0,0,330,0
2,0,1,0,234,0
2,2,1,0,272,1
4,4,0,1,297,1
4,4,0,0,343,1
0,2,0,0,396,0
2,3,0,0,275,1
1,4,0,0,302,0
2,4,0,0,339,1
1,3,0,0,297,0
0,3,0,0,382,0
4,3,0,0,232,0
4,2,1,0,333,0
1,3,0,1,333,0
1,4,1,0,357,1
3,5,0,0,303,0
6,5,0,0,344,1
1,1,0,0,287,0
1,5,0,0,259,0
3,4,0,0,252,1
3,2,0,1,227,0
1,2,1,1,277,1
2,1,0,0,315,0
2,3,0,0,289,0
1,5,1,0,309,1
2,1,1,0,361,0
2,2,0,0,274,0
2,3,0,0,417,0
2,3,1,1,337,1
2,3,0,0,290,0
1,3,0,1,289,0
1,5,0,1,249,1
5,4,1,1,298,1
3,3,0,0,191,0
3,5,1,0,362,1
1,4,0,0,159,0
2,1,1,0,302,0
7,3,0,0,242,1
2,3,0,1,264,0
2,1,1,0,271,0
3,5,0,1,396,1
0,3,0,1,244,0
2,2,0,0,345,0
2,3,0,0,358,0
2,3,0,0,183,0
1,3,0,0,269,0
2,1,0,1,374,1
1,5,0,0,234,0
2,1,0,0,359,0
2,4,0,0,299,0
5,2,1,0,296,1
2,3,0,0,303,0
2,4,0,1,317,1
1,3,1,0,252,1
1,8,0,0,286,1
0,2,1,0,318,0
0,2,1,0,308,0
2,1,1,0,317,0
4,1,0,1,264,0
2,5,1,0,331,1
5,2,1,0,306,1
1,0,0,0,220,0
1,2,0,0,273,0
2,5,0,0,255,0
0,4,0,0,254,0
0,4,0,0,276,0
4,4,0,1,330,1
3,4,0,0,268,1
1,1,0,0,311,0
2,3,0,0,303,0
0,1,0,0,261,0
0,4,1,1,282,1
1,4,0,1,343,1
2,3,0,0,307,0
2,3,0,1,327,1
1,3,0,1,363,0
0,4,1,1,321,1
3,2,1,0,203,0
3,3,0,0,313,0
3,4,1,0,269,1
5,5,0,1,390,1
2,2,0,0,319,0
2,2,0,0,270,0
3,1,1,0,328,0
2,2,0,0,304,0
2,4,0,0,214,1
2,2,1,1,343,1
6,2,0,0,279,0
4,4,0,1,371,1
1,3,1,0,293,1
6,4,0,0,371,1
1,1,0,0,321,0
3,3,0,0,348,0
1,6,0,0,275,0
3,3,0,0,317,0
4,1,0,0,213,0
3,3,0,0,293,0
3,6,0,0,225,0
2,4,1,0,242,1
4,4,1,0,255,1
